text1,text2,label
harq,crop,0
cri,successfully,0
an,glass,0
const,uint16_t,1
we,can,1
int,methodology,0
nr_srs_normalized_channel_iq_matrix,num_gnb_antenna_elements,1
nr_sched_pucch_t,bwp_size,1
uint8_t,csi_part1,1
slot,not,1
set,investigate,0
per,period,1
pucch,relation,0
config_common,bradley,0
use,flexible,0
number,previous,1
csi_meas_bitlen,cumul_bits,1
nrmac,rc,1
be,with,1
csirep,reportconfigtype,1
can,consciousness,0
fs,numb_slots_period,1
void,eval,0
ss_pbch_power,scc,1
tdd,runner,0
log_d,pointer,0
measurements,more,1
csi_report_id,payload,1
uint16_t,means,1
minrxtxtime,ntn_gnb_koffset,1
uint32_t,ibm,0
ssb_mask,value,1
beam_allocation_procedure,suits,0
reported,biology,0
frame_start,pucch_size,1
static,enclosed,0
scs_specificcarrierlist,list,1
update,in,1
curr_pucch,opera,0
return,period_idx,1
layer,scuba,0
spatial,filter,1
resourcetype,choice,1
k1,according,1
distributed,license,1
the,file,1
rsrp_report,nb_ssbri_cri,1
uint8_t,thus,0
of,paying,0
int,sr_offset,1
we,csi_report,1
where,obituaries,0
weights,classical,0
base11_idx,focusing,0
assertfatal,not,1
case,sip,0
num_gnb_antenna_elements,tx,1
frame_structure,magnitude,0
obtain,license,1
ue,sched_ctrl,1
uint32_t,pointa,1
not,analyses,0
cfg,confused,0
init_ue,slot,1
uint8_t,schema,0
gnb_mac_inst,frame_t,1
return,count,1
choice,n2,1
under,vast,0
int,rent,0
is,on,1
nr_servingcellconfigcommon_t,static,0
static,temporarily,0
no,need,1
void,nr_sched_pucch_t,1
payload,limited,0
ul_slot,slot,1
cfg,dog,0
pucch_index,sched_pucch_size,1
ul_slot,syntax,0
pucch_index,inserted,0
nr_pucch_resourceset_t,pucch_config,1
frame_t,slot_t,1
of,period,1
num_gnb_antenna_elements,port,1
if,allocation,1
mat,pmiq,1
frequencyinfoul,suffering,0
the,are,1
csi_report,nil,0
int,brussels,0
this,icons,0
nr_freqbandindicatornr_t,frequencyinfodl,1
to,automobile,0
uint16_t,proud,0
static,corporate,0
mac,frame_structure,1
vector,structures,1
nth,bent,0
sfn,frame,1
n1,evans,0
resourcetoaddmodlist,smallest,0
for,persistent,1
future_ul_tti_req,pdus_list,1
csi,madagascar,0
get_ssb_subcarrier_offset,sound,0
bit,frame,1
ssb_beam_id_list,calendar,0
not,got,0
int,historic,0
int,partially,0
get_nr_prach_format_from_index,refresh,0
of,pucch,1
false,free,1
warranties,any,1
int,n_slots_frame,1
reporting,set,1
nr_mac,toolbar,0
void,nr_servingcellconfigcommon_t,1
find,regard,0
ssb_table,ssb_offset_point_a,1
frame,nfapi_nr_uci_pucch_pdu_format_0_1_t,1
protected,fighter,0
int,index,1
todo,helicopter,0
presence,into,1
to,more,1
cri_ri_li_pmi_cqi_report,savannah,0
int,rachconfig,1
nr_rach_configcommon_t,oasis,0
per,the,1
code,cord,0
gnb_mac_inst,ue,1
log_d,fees,0
cfg,gibson,0
band,report,1
to,or,1
actual,the,1
assertfatal,null,1
the,include,1
tdd,by,1
fs,smtp,0
utils,accessible,0
harq,future,1
uint32_t,suffer,0
higher,each,1
pi,base12_idx,1
int,slot,1
srs_pdu,see,1
gives,in,1
srs_resource_set,srs_config,1
assume,been,1
ssb_config,bch_payload,1
if,sum_matrix_i,1
expected,becoming,0
be,therefore,0
harq,one,1
format3,f3_dmrs_symbols,1
cri,report,1
cfg,jewel,0
cfg,cake,0
resources,pucch_resource,1
pucch_index,pucch,1
also,suffer,0
num_symbols,funding,0
cfg,important,0
static,void,1
distributed,skin,0
nsum,cork,0
rach_configcommon,msg1_frequencystart,1
mm,board,0
log_d,for,1
two,contrast,0
can,have,1
frequencyinfoul,perhaps,0
ch,pi,1
sched_ctrl,mas,0
sched_slot,king,0
temp_cqi,cumul_bits,1
not,coated,0
remove_front_nr_list,feedback_dl_harq,1
could,find,1
periodic,crossing,0
feedback_slot,slot,1
static,arising,0
resource,hawk,0
not,usda,0
wide,temp_cqi,1
to,more,1
wrap,tdd,1
const,int,1
store,studying,0
section,persistent,1
scheduling,sie,0
slot,voyeurweb,0
function,it,1
on,csi,1
uniform,campbell,0
pucch,format,1
assertfatal,saskatchewan,0
ch,base10_idx,1
is,or,1
uint16_t,srs_period,1
fs,tdd,1
for,vitamins,0
wrap,wheat,0
openairinterface,more,1
to,captured,0
receive,albert,0
beamforming,acid,0
int,max_frame_number,1
cfg,tag,1
domain,export,0
nr_pucch_config_t,o_uci,1
ch,base11_idx,1
mac,cc_id,1
if,is_ul_slot,1
int,banned,0
with,timing,1
ssbri,cardiovascular,0
can,overlap,1
frame,tent,0
if,n_list,1
from,configure,1
any,kind,1
pucch_csi_resourcelist,list,1
to,henderson,0
log_d,resource_id,1
if,stage,0
const,nationally,0
int,uint16_t,1
the,pearl,0
pucch,collectible,0
base21_idx,rx,1
prach_fd_occasion,k1,1
nr_mac,solution,0
harq,celebs,0
ri_restriction,cumul_bits,1
select,accommodations,0
v_lm,bucks,0
assertfatal,destination,0
called,scholarship,0
srs_pdu,nrofsymbols,1
mat_imag128,navigate,0
num_unused_root_sequences,tag,1
resources,seven,0
so,use,1
const,sep,0
nr_ue_ul_bwp_t,exercise,0
mat,executives,0
if,keyboard,0
log_d,investor,0
of,til,0
tdd,structure,1
been,aborted,1
check,is,1
current,specialty,0
sched_ctrl,csi_report,1
bits,pucch_resource,1
ntn_gnb_koffset,scc,1
const,config,1
use,as,1
resource,ericsson,0
resources,translation,0
so,element,1
return,willing,0
correspond,undertake,0
than,csi,1
ch,revisions,0
nr_pucch_csi_resource_t,array,1
antport,fixed,1
int,numb_slots_period,1
or,as,1
otherwise,hewlett,0
pickandreverse_bits,piano,0
mask,nrofsymbols,1
payload,cumul_bits,1
the,elected,0
nak,knee,0
sched_ctrl,theory,0
beams,represented,1
we,boring,0
about,abs,0
ch,cadillac,0
scs_specificcarrierlist,chris,0
const,nr_servingcellconfigcommon_t,1
get,idx,1
ssb_mask_list,ssb_mask,1
resources,kentucky,0
whether,pct,0
at,but,1
nr_beam_alloc_t,n_slots_frame,1
simultaneous,spatial,1
sched_frame,n_slots_frame,1
reporting,region,0
rsrp,configure,1
if,is_ul_slot,1
reporting,in,1
curr_pucch,csi_bits,1
one,more,1
scheduling,o_ack,1
nrmac,savings,0
the,value,1
find_ra_ue,cgi,0
list,americas,0
the,casting,0
pucch,thing,0
curr_pucch,mainstream,0
assume,india,0
schedulingrequestresourceconfig,sr_resource_id,1
is,implemented,1
in,identify,1
received,priorities,0
matching,the,1
nr_csi_meas_reporting,chi,0
the,you,1
decoded,in,1
log_e,determine,0
array,res_index,1
base23_idx,shut,0
with,groupbasedbeamreporting,1
rs,aboriginal,0
nr_pucch_csi_resource_t,hardwood,0
current,is,1
int,primarily,0
else,mediawiki,0
v_lm,drainage,0
tl,macintosh,0
cfg,subcommittee,0
rb,maker,0
to,republican,0
nrmac,frame_structure,1
csi,untitled,0
idx,frame,1
tl,parliamentary,0
const,pucch_config,1
slot_t,clinic,0
different,setting,1
n1,antenna_ports,1
n1,num_antenna_ports,1
in,available,1
const,configurations,0
uint16_t,myrtle,0
cell_config,tl,1
prach_config,ripe,0
rev_bits,payload,1
srs,desire,0
pid,component,0
number,send,0
tpc1,rssi_threshold,1
csi_reportconfigtoaddmodlist,count,1
of,savings,0
nr_ue_sched_ctrl_t,indices,0
distributed,with,1
ul_slot_count,ethernet,0
int,sched_ctrl,1
nr_schedule_srs,frame,1
each,report,1
mac,temp_cqi,1
idx,specifies,0
ul_buffer_index,pucch_frame,1
nr_fill_nfapi_pucch,broadway,0
the,columbia,0
ul_slot_count,vote,0
antport,layeridx,1
with,to,1
cfg,ss_pbch_blockpower,1
curr_payload,cumul_bits,1
licensed,motivation,0
log_e,nr_mac,1
without,exclusion,0
nr_fill_nfapi_srs,cc_id,1
number,mixed,1
be,convergence,0
n_re_ctrl,death,0
uint16_t,rx,1
can,have,1
cfg,value,1
the,command,0
simde_mm_setr_epi32,chair,0
on,configured,1
ntn_config_r17,cellspecifickoffset_r17,1
prach_config,location,0
void,csi_report,1
of,tokyo,0
matrix_rank_128bits,calculators,0
beam_allocation_procedure,ue,1
distance,geo,0
license,version,1
gives,normalized,1
of,to,1
log_d,quickly,0
also,accompanying,0
spec,set,1
slot,index,1
cfg,deliver,0
ssb,ue,1
is,revenues,0
to,performances,1
email,recorders,0
uint8_t,consultant,0
bit,negotiations,0
maxcoderate,null,1
from,sec,1
srs_pdu,pdus_list,1
that,adolescent,0
by,goat,0
of,co,1
srs_pdu,freqdomainshift,1
rs,shall,1
openairinterface,barbados,0
sched_slot,nrmac,1
r1,collapse,0
slot,counter,0
distributed,under,1
simultaneous,receive,1
the,kelly,0
csi,planning,0
num_prgs,charles,0
payload,cumul_bits,1
or,yea,0
scheduling,dai,1
tl,purse,0
pucch,jesse,0
the,with,1
mat_imag128,senate,0
pucch,indicator,1
number,per,1
nrriv2prboffset,uplinkconfigcommon,1
const,inf,0
semi,petite,0
spec,in,1
two,setting,1
sum_matrix,mat_real128,1
int,representative,0
choice,longbitmap,1
if,smooth,0
sfn,reportquantity_type_r16,1
srs_config,blackberry,0
the,block,0
cfg,singer,0
ch,base31_idx,1
not,free,1
base01_idx,num_gnb_antenna_elements,1
const,num_prgs,1
there,overview,0
const,thongs,0
expected,telephony,0
cfg,carrier_config,1
hardcoded,occupation,0
description,srs,1
configuration,late,0
carrier_config,land,0
simde_mm_cvtps_epi32,wax,0
num_symbols,symbols,1
per,intense,0
payload,csi_report,1
ue,index,1
gnb_mac_inst,nrmac,1
index,current,1
rate,we,1
rs,excerpt,0
be,received,1
pucchres,choice,1
author,nikaein,1
log_d,srs,1
number,ul,1
cfg,kde,0
of,storm,0
cfg,ssb_perrach_occasionandcb_preamblesperssb,1
update,more,1
int,o_crc,1
for,represent,0
in,interventions,0
nr_pucch_resource_t,pursuit,0
const,tx,1
denotes,the,1
distance,queensland,0
tx,port,1
prach_config,legends,0
if,srs_resource,1
cfg,ssb_mask_list,1
tdd,numb_period_frame,1
calling,suited,0
prach_config,suites,0
cumul_bits,kim,0
matrix_rank_128bits,implemented,1
not,for,1
warranties,beats,0
uint16_t,proxy,0
const,finland,0
log_e,nr_mac,1
uint8_t,cumul_bits,1
ssb_mask_list,create,0
harq,constraint,0
max_k2,registration,0
verify,been,1
frame_duplex_type,robot,0
uint16_t,rx,1
for,in,1
num_gnb_antenna_elements,triangle,0
mm,k2,1
mac,the,1
set_pucch0_vrb_occupation,pucch,1
sched_ctrl,steal,0
of,load,0
denotes,w_i1,1
nr_mac,in,1
pucch_acknack,current,1
nn,bali,0
for,easy,0
also,slots,1
ri_bitlen,ri_restriction,1
id,this,1
slots,advance,1
measurements,than,1
static,quebec,0
multiplication,mult_128,1
csi,madrid,0
param,extended,0
is,reuters,0
public,consistently,0
ue,doctors,0
mat,num_pm_idx,1
csi,can,1
supported,report,1
nr_sched_pucch_t,sched_ctrl,1
nr_configure_srs,malta,0
with,single,1
only,reporting,1
resources,this,1
mult,mat_i,1
tdd,numb_slots_frame,1
number,omega,0
any,in,1
for,leaders,0
log_d,for,1
sched_ctrl,motels,0
no,pucch,1
return,structure,1
ssb_mask_list,framework,0
pucch_config,sexually,0
pucchresset,charter,0
ssb_mask_list,slot,0
param,hands,0
nrmac,ue,1
layer,configured,1
ul_bwp,bwpsize,1
nn2,n2,1
pucchresset,shipped,0
pucch_resourceid,res_index,1
const,uint16_t,1
nrmac,databases,0
const,num_gnb_antenna_elements,1
get_ul_slot_offset,const,1
sr,resources,1
than,given,0
to,with,1
in,interim,0
periodic,christ,0
assertfatal,count,1
parse,it,1
pucch_acknack,affiliate,0
taken,scheduling,1
try,every,1
int,num_ue_srs_ports,1
include,layer2,1
configure,resource,1
alliance,involve,0
empty,sort,0
void,nr_ue_ul_bwp_t,1
the,of,1
all,layout,0
nr_ue_harq_t,harq,1
slot,set,1
fb_size,tape,0
const,alert,0
of,is,1
nr_csi_measconfig_t,redhead,0
connected_ue_list,implemented,0
csi_report,r_index,1
sched_ctrl,pulled,0
of,on,1
tl,nfapi_nr_config_ssb_offset_point_a_tag,1
to,of,1
frame,unions,0
null,threatening,0
index,mac,1
ue,dragon,0
nr_configure_srs,nrmac,1
fs,the,1
of,knock,0
nrriv2prboffset,violation,0
case,csi,1
const,nr_servingcellconfigcommon_t,1
for,shepherd,0
dl,ul_ack,1
get_ul_slots_per_period,fs,1
scc,min,0
periodic,reporting,1
in,dale,0
int,bool,1
configured,deutsch,0
pucchres,video,0
uint16_t,antenna,1
an,nr_sched_pucch,1
pucch,secondhopprb,1
number,per,1
information,musicians,0
conditions,impression,0
scs_specificcarrierlist,listen,0
sched_ctrl,uci_01,1
at,est,0
stored,shannon,0
nth,valley,0
csi_report,notified,0
int,i2_size,1
except,road,0
const,hills,0
rsrp,stats,1
int,nrmac,1
carrier_config,craig,0
instance,step,0
value,mountain,0
scc,choice,1
not,frame,1
with,attempts,0
from,clicking,0
and,informed,0
about,software,1
identifier,ld,1
pucch,dies,0
harq,feedback_frame,1
has,for,1
pucch2,flush,0
const,antonio,0
return,knights,0
assertfatal,resourcetoaddmodlist,1
protected,in,1
csi,protection,0
param,index,1
const,tubes,0
resource_id,index_list,1
unless,hotel,0
there,stereo,0
it,admit,0
for,scheme,0
number,period,1
rsrp,infections,0
been,and,1
antenna,subcommittee,0
pmi_bitlen,accounts,0
ssb_table,bookstore,0
num_prgs,antenna,1
int,pucchres,1
void,temporary,0
by,initiated,0
cfg,trap,0
semi,solutions,0
if,higher,1
ssb,rsrp,1
this,harq,1
nr_csi_reportconfig__reportquantity_pr,reportquantity_type,1
if,helped,0
different,chains,0
static,travelling,0
list,albert,0
assertfatal,quite,0
scs_specificcarrierlist,yale,0
derived,the,1
uplinkconfigcommon,initialuplinkbwp,1
num_prgs,elements,0
if,cfg,1
r_index,scientific,0
tx,parameter,0
license,with,1
curr_payload,cumul_bits,1
openairinterface,oai,1
get_ssb_offset_to_pointa,scc,1
nr_beam_alloc_t,estimates,0
max,ports,1
idx,among,1
the,watt,0
ntn_gnb_koffset,principal,0
mmc,aerospace,0
mat_imag128,simde_mm_setr_epi32,1
with,to,1
payload,secure,0
rs,resources,1
if,tdd_nr_uplink_slot,1
reporting,connect,0
ssb_per_rach,tag,1
nr_get_tpc,pregnant,0
int,minimize,0
dl,fairy,0
nr_csi_report_t,soccer,0
specific,governing,1
carrier_config,cisco,0
you,may,1
sr_flag,true,1
ue_info,isaac,0
const,fashion,0
if,trio,0
csi,schedule,1
for,talent,0
srs_resource_set,array,1
harq,we,1
resources,by,1
vrb,can,1
array,previews,0
we,identify,1
slot_t,massage,0
nr_mac,couldn,1
float,mat_i,1
int,payload,1
schedule_pucch_core,slope,0
csi,incl,0
procedure,from,1
const,suits,0
periodic,yugoslavia,0
the,batteries,0
simde_mm_setr_epi32,pi01,1
ul,slots,1
higher,appreciated,0
num_prgs,antenna,1
can,beliefs,0
uint16_t,base11_idx,1
resourcesettoaddmodlist,abuse,0
prach,for,1
pmi_x1_bitlen,ri,1
ul_ack,prb,1
found,resources,1
evaluate_cri_report,speaks,0
cfg,giant,0
log_i,matrix,1
format,editions,0
pi,base10_idx,1
ssb_table,tl,1
spec,ie,1
scheduling,for,1
prach_fd_occasion,tag,1
ul_tti_req_ahead,index,1
try,borders,0
slots,period,1
this,are,1
scheduling,identified,1
frame_t,sfn,1
payload,csi_report,1
number,sets,1
int,n_ul_slots_period,1
of,minor,0
log_d,sr_offset,1
frame,rely,0
public,gdp,0
reporting,holdem,0
are,inspections,0
software,merger,0
curr_pucch,frame,1
slot,congress,0
return,integration,0
int,get_ntn_koffset,1
nrmac,common_channels,1
nr_ue_dl_bwp_t,ann,0
cyclic_shift,n4,1
const,healing,0
sheduling,advance,1
slots,absorption,0
index,offset,1
limits,collaboration,0
pmiq,i_rows,1
license,may,1
openairinterface,you,1
code,violin,0
const,fascinating,0
pucch_index,frame_structure,1
csi_reportconfigtoaddmodlist,anne,0
int,mate,0
multiple,response,0
frame,id,1
and,select,0
pucch_slot,nearest,0
assertfatal,seriously,0
cfg,reel,0
code,we,1
ul_slot_idx_in_period,idx,1
fs,cluster,0
harq,parent,0
pucch,macintosh,0
nrmac,produced,0
nr_mac,kevin,0
